pc_timestamp_iso,dev_timestamp_ms,x_dps,y_dps,z_dps
2025-08-25T09:47:08.855859+00:00,3797212,0.183105,0.12207,-0.305176
2025-08-25T09:47:10.856020+00:00,3799212,0.183105,0.0,-0.366211
2025-08-25T09:47:12.856048+00:00,3801212,-0.12207,0.183105,-0.366211
2025-08-25T09:47:14.856057+00:00,3803212,0.061035,0.061035,-0.305176
2025-08-25T09:47:16.855853+00:00,3805212,-0.061035,0.12207,-0.366211
2025-08-25T09:47:18.855735+00:00,3807212,0.0,0.12207,-0.305176
2025-08-25T09:47:20.855804+00:00,3809212,-0.12207,0.305176,-0.427246
2025-08-25T09:47:22.855912+00:00,3811212,1.403809,-1.586914,0.549316
2025-08-25T09:47:24.855622+00:00,3813212,39.367676,-213.684082,208.190918
2025-08-25T09:47:26.855569+00:00,3815212,62.37793,267.883301,124.389648
2025-08-25T09:47:28.855479+00:00,3817212,-174.01123,12.268066,-409.179687
2025-08-25T09:47:30.855568+00:00,3819212,-246.337891,331.90918,-263.427734
2025-08-25T09:47:32.855446+00:00,3821212,-150.32959,108.093262,-513.73291
2025-08-25T09:47:34.855346+00:00,3823212,131.652832,6.530762,405.639648
2025-08-25T09:47:36.855504+00:00,3825212,-31.738281,-118.469238,-124.267578
2025-08-25T09:47:38.855482+00:00,3827212,-203.613281,373.657227,-141.052246
2025-08-25T09:47:40.855544+00:00,3829212,46.447754,-165.039062,228.149414
2025-08-25T09:47:42.855548+00:00,3831212,-102.355957,371.337891,-206.115723
2025-08-25T09:47:44.855434+00:00,3833212,8.605957,-72.143555,-485.107422
2025-08-25T09:47:46.855417+00:00,3835212,68.42041,-121.643066,660.15625
2025-08-25T09:47:48.855299+00:00,3837212,-304.077148,169.921875,10.925293
2025-08-25T09:47:50.855777+00:00,3839212,-35.644531,-63.842773,-384.887695
2025-08-25T09:47:52.855380+00:00,3841212,60.913086,-126.342773,-445.19043
2025-08-25T09:47:54.855336+00:00,3843212,-78.735352,-55.480957,-490.112305
2025-08-25T09:47:56.855291+00:00,3845212,57.128906,-161.987305,-52.856445
2025-08-25T09:47:58.855439+00:00,3847212,4.150391,-178.955078,579.528809
2025-08-25T09:48:00.855398+00:00,3849212,13.000488,48.217773,489.440918
2025-08-25T09:48:02.855573+00:00,3851212,3.051758,-60.546875,-240.41748
2025-08-25T09:48:04.855224+00:00,3853212,-118.896484,-133.178711,-212.646484
2025-08-25T09:48:06.855348+00:00,3855212,762.939453,537.597656,-336.303711
2025-08-25T09:48:08.855482+00:00,3857212,-4.333496,-50.598145,-347.229004
2025-08-25T09:48:10.854975+00:00,3859212,-64.331055,-10.009766,-104.431152
2025-08-25T09:48:12.855588+00:00,3861212,72.265625,-61.035156,346.069336
2025-08-25T09:48:14.855031+00:00,3863212,-287.597656,124.450684,-106.628418
2025-08-25T09:48:16.854980+00:00,3865212,-29.541016,1.586914,-373.779297
2025-08-25T09:48:18.854817+00:00,3867212,-123.474121,81.176758,383.483887
2025-08-25T09:48:20.854826+00:00,3869212,-296.264648,-262.268066,-140.258789
2025-08-25T09:48:22.854923+00:00,3871212,-311.279297,-67.565918,-760.314941
2025-08-25T09:48:24.854777+00:00,3873212,-97.839355,130.615234,-468.933105
2025-08-25T09:48:26.858647+00:00,3875212,-165.649414,417.724609,70.983887
2025-08-25T09:48:28.854568+00:00,3877212,-118.469238,342.346191,239.990234
2025-08-25T09:48:30.854584+00:00,3879212,-65.063477,290.527344,-256.896973
2025-08-25T09:48:32.854544+00:00,3881212,-31.25,-55.175781,28.259277
2025-08-25T09:48:34.855257+00:00,3883212,-132.019043,-178.283691,421.691895
2025-08-25T09:48:36.854906+00:00,3885212,-231.994629,334.899902,55.969238
2025-08-25T09:48:38.854474+00:00,3887212,-81.90918,107.23877,-394.836426
2025-08-25T09:48:40.854392+00:00,3889212,-78.979492,303.100586,-104.431152
2025-08-25T09:48:42.854348+00:00,3891212,-148.31543,288.269043,160.949707
2025-08-25T09:48:44.854488+00:00,3893212,-154.968262,206.787109,353.149414
2025-08-25T09:48:46.854561+00:00,3895212,-263.549805,31.982422,-729.858398
2025-08-25T09:48:48.854382+00:00,3897212,-179.6875,388.122559,4.211426
2025-08-25T09:48:50.872153+00:00,3899212,-146.240234,378.479004,-177.856445
2025-08-25T09:48:52.854265+00:00,3901212,-239.990234,407.592773,44.311523
2025-08-25T09:48:54.854167+00:00,3903212,-289.733887,-117.126465,-567.932129
2025-08-25T09:48:56.854284+00:00,3905212,91.674805,77.331543,330.810547
2025-08-25T09:48:58.854297+00:00,3907212,657.531738,-61.767578,-178.466797
2025-08-25T09:49:00.854201+00:00,3909212,-677.856445,208.557129,32.836914
2025-08-25T09:49:02.854190+00:00,3911212,-311.584473,-107.48291,165.771484
2025-08-25T09:49:04.854096+00:00,3913212,-268.127441,-304.382324,-147.460937
2025-08-25T09:49:06.854161+00:00,3915212,-419.372559,-490.600586,-95.76416
2025-08-25T09:49:08.854328+00:00,3917212,10.559082,-11.657715,52.001953
2025-08-25T09:49:10.854509+00:00,3919212,-55.847168,-54.992676,83.068848
2025-08-25T09:49:12.854449+00:00,3921212,-0.12207,0.732422,-2.319336
2025-08-25T09:49:14.853996+00:00,3923212,-0.854492,7.446289,-1.586914
2025-08-25T09:49:16.853987+00:00,3925212,-11.71875,155.517578,290.710449
2025-08-25T09:49:18.854153+00:00,3927212,13.000488,-79.467773,-433.959961
2025-08-25T09:49:20.853992+00:00,3929212,-143.188477,-113.952637,-293.273926
2025-08-25T09:49:22.854004+00:00,3931212,184.936523,4.577637,-55.053711
2025-08-25T09:49:24.854052+00:00,3933212,-64.941406,56.57959,-4.760742
2025-08-25T09:49:26.854374+00:00,3935212,13.183594,-229.064941,142.39502
2025-08-25T09:49:28.854053+00:00,3937212,-11.230469,49.01123,52.612305
2025-08-25T09:49:30.858168+00:00,3939212,-82.519531,-83.496094,49.194336
2025-08-25T09:49:32.854132+00:00,3941212,-1.098633,-0.549316,0.671387
2025-08-25T09:49:34.854221+00:00,3943212,-2.441406,-1.220703,-2.990723
2025-08-25T09:49:36.854097+00:00,3945212,-0.061035,0.183105,-0.427246
2025-08-25T09:49:38.854190+00:00,3947212,-0.366211,0.183105,-0.305176
2025-08-25T09:49:40.853916+00:00,3949212,76.721191,-70.43457,97.53418
2025-08-25T09:49:42.854131+00:00,3951212,33.447266,59.631348,191.711426
2025-08-25T09:49:44.854144+00:00,3953212,137.634277,953.186035,-119.873047
2025-08-25T09:49:46.854128+00:00,3955212,-443.115234,-146.240234,475.097656
2025-08-25T09:49:48.853962+00:00,3957212,166.19873,312.62207,-75.256348
2025-08-25T09:49:50.854117+00:00,3959212,-297.302246,-754.272461,416.07666
2025-08-25T09:49:52.853928+00:00,3961212,-90.515137,-161.010742,78.674316
2025-08-25T09:49:54.854375+00:00,3963212,136.901855,1002.01416,-201.416016
2025-08-25T09:49:56.854060+00:00,3965212,183.044434,422.729492,-173.095703
2025-08-25T09:49:58.854206+00:00,3967212,84.289551,319.458008,-87.82959
2025-08-25T09:50:00.853834+00:00,3969212,73.974609,365.661621,-100.036621
2025-08-25T09:50:02.853997+00:00,3971212,-162.536621,-721.191406,161.437988
2025-08-25T09:50:04.853750+00:00,3973212,-156.494141,-733.703613,171.142578
2025-08-25T09:50:06.854091+00:00,3975212,296.630859,980.773926,-266.601562
