time,value_humidity,value_temperature
2025-10-02 17:30:00+00:00,57.26885006085597,17.73739409041193
2025-10-02 17:30:02+00:00,57.24890988156464,17.743992526775894
2025-10-02 17:30:04+00:00,57.22896970227332,17.750590963139857
2025-10-02 17:30:06+00:00,57.20902952298199,17.75718939950382
2025-10-02 17:30:08+00:00,57.21815031769429,17.76378783586778
2025-10-02 17:30:10+00:00,57.25131789815449,17.770386272231743
2025-10-02 17:30:12+00:00,57.28448547861469,17.776984708595705
2025-10-02 17:30:14+00:00,57.28683810103936,17.783583144959668
2025-10-02 17:30:16+00:00,57.26211127205151,17.79018158132363
2025-10-02 17:30:18+00:00,57.23738444306367,17.796780017687592
2025-10-02 17:30:20+00:00,57.21265761407582,17.802974866414726
2025-10-02 17:30:22+00:00,57.19037460069785,17.808785236387568
2025-10-02 17:30:24+00:00,57.170654227513545,17.814595606360413
2025-10-02 17:30:26+00:00,57.15093385432924,17.820405976333255
2025-10-02 17:30:28+00:00,57.13121348114493,17.8262163463061
2025-10-02 17:30:30+00:00,57.11149310796063,17.832026716278946
2025-10-02 17:30:32+00:00,57.09414464131427,17.83783708625179
2025-10-02 17:30:34+00:00,57.08011067273462,17.843647456224634
2025-10-02 17:30:36+00:00,57.06607670415497,17.84945782619748
2025-10-02 17:30:38+00:00,57.05204273557532,17.85526819617032
2025-10-02 17:30:40+00:00,57.03800876699567,17.861078566143167
2025-10-02 17:30:42+00:00,57.02397479841601,17.86688893611601
2025-10-02 17:30:44+00:00,57.00994082983636,17.872699306088855
2025-10-02 17:30:46+00:00,56.99269073548477,17.8785096760617
2025-10-02 17:30:48+00:00,56.96762977494063,17.884320046034542
2025-10-02 17:30:50+00:00,56.94256881439651,17.890130416007388
2025-10-02 17:30:52+00:00,56.91750785385238,17.895940785980233
2025-10-02 17:30:54+00:00,56.92941396947434,17.901981106814834
2025-10-02 17:30:56+00:00,56.97287196415304,17.908554292109233
2025-10-02 17:30:58+00:00,56.89745072443024,17.91512747740363
2025-10-02 17:31:00+00:00,56.88752994558987,17.921700662698026
2025-10-02 17:31:02+00:00,56.87760916674949,17.928273847992426
2025-10-02 17:31:04+00:00,56.86768838790912,17.93484703328682
2025-10-02 17:31:06+00:00,56.85776760906875,17.941420218581218
2025-10-02 17:31:08+00:00,56.84784683022838,17.947993403875618
2025-10-02 17:31:10+00:00,56.837926051388,17.954566589170014
2025-10-02 17:31:12+00:00,56.82800527254763,17.961139774464414
2025-10-02 17:31:14+00:00,56.81808449370725,17.96771295975881
2025-10-02 17:31:16+00:00,56.808163714866886,17.974286145053206
2025-10-02 17:31:18+00:00,56.79426819479146,17.980859330347606
2025-10-02 17:31:20+00:00,56.76189538297018,17.987432515642002
2025-10-02 17:31:22+00:00,56.729522571148905,17.9940057009364
2025-10-02 17:31:24+00:00,56.702930559598144,18.00051076555481
2025-10-02 17:31:26+00:00,56.736198057230574,18.00631044855839
2025-10-02 17:31:28+00:00,56.76946555486301,18.012110131561972
2025-10-02 17:31:30+00:00,56.791573103663225,18.017909814565552
2025-10-02 17:31:32+00:00,56.6978917335534,18.023709497569136
2025-10-02 17:31:34+00:00,56.678168449467776,18.02950918057272
2025-10-02 17:31:36+00:00,56.65844516538215,18.035308863576297
2025-10-02 17:31:38+00:00,56.638721881296526,18.04110854657988
2025-10-02 17:31:40+00:00,56.6189985972109,18.04690822958346
2025-10-02 17:31:42+00:00,56.59942546616439,18.05270791258704
2025-10-02 17:31:44+00:00,56.58379741268978,18.058507595590623
2025-10-02 17:31:46+00:00,56.56816935921518,18.064307278594203
2025-10-02 17:31:48+00:00,56.552541305740576,18.070106961597787
2025-10-02 17:31:50+00:00,56.536913252265975,18.075906644601368
2025-10-02 17:31:52+00:00,56.52128519879137,18.081706327604948
2025-10-02 17:31:54+00:00,56.50565714531677,18.08750601060853
2025-10-02 17:31:56+00:00,56.5930097725657,18.093305693612116
2025-10-02 17:31:58+00:00,56.51394794829682,18.099105376615693
2025-10-02 17:32:00+00:00,56.48299825963153,18.10335777409964
2025-10-02 17:32:02+00:00,56.4628940445047,18.107327823178977
2025-10-02 17:32:04+00:00,56.44278982937787,18.111297872258312
2025-10-02 17:32:06+00:00,56.42268561425105,18.11526792133765
2025-10-02 17:32:08+00:00,56.40258139912422,18.119237970416982
2025-10-02 17:32:10+00:00,56.35627621890403,18.12320801949632
2025-10-02 17:32:12+00:00,56.30611382285782,18.12717806857566
2025-10-02 17:32:14+00:00,56.34063635234327,18.131148117654995
2025-10-02 17:32:16+00:00,56.386914590908745,18.135118166734333
2025-10-02 17:32:18+00:00,56.361853745570926,18.13908821581367
2025-10-02 17:32:20+00:00,56.308664750665486,18.143058264893007
2025-10-02 17:32:22+00:00,56.38127496715468,18.147028313972346
2025-10-02 17:32:24+00:00,56.31636864240328,18.15099836305168
2025-10-02 17:32:26+00:00,56.29406491812512,18.154968412131016
2025-10-02 17:32:28+00:00,56.28701720911096,18.158938461210354
2025-10-02 17:32:30+00:00,56.27996950009679,18.16290851028969
2025-10-02 17:32:32+00:00,56.27292179108263,18.166878559369028
2025-10-02 17:32:34+00:00,56.265874082068464,18.170848608448363
2025-10-02 17:32:36+00:00,56.25882637305431,18.1748186575277
2025-10-02 17:32:38+00:00,56.25177866404015,18.17878870660704
2025-10-02 17:32:40+00:00,56.24473095502598,18.182758755686372
2025-10-02 17:32:42+00:00,56.23768324601182,18.18672880476571
2025-10-02 17:32:44+00:00,56.23063553699766,18.19069885384505
2025-10-02 17:32:46+00:00,56.22358782798349,18.194668902924384
